"y" "size" "center" "variance" "even" "cramer" "ratio" "PNT"
3 24 9163 54.1666666666667 FALSE FALSE 1.00262266418971 2.34237020638147
1 8 9179 7.5 FALSE FALSE 1.0008719346049 0.780660642613725
12 109 9237.5 1017.5 TRUE TRUE 1.01186975933791 10.6300018960874
4 35 9309.5 111 TRUE FALSE 1.00376668101593 3.41076363768707
4 22 9338 46 FALSE FALSE 1.00235874343304 2.14327796939028
2 38 9368 130 FALSE FALSE 1.0040646058402 3.70089195425965
10 62 9418 336 FALSE FALSE 1.0066048790881 6.03523363356476
3 23 9460.5 50 TRUE FALSE 1.0024341200127 2.2378992956103
10 92 9518 728.5 FALSE TRUE 1.00971283783784 8.94641816562762
1 34 9581 105 FALSE FALSE 1.00355499790882 3.30419705813097
6 43 9619.5 165 TRUE FALSE 1.00448010002084 4.17723255350256
1 2 9642 1 FALSE FALSE 1.00020744736023 0.194246083113057
8 81 9683.5 567.166666666667 TRUE FALSE 1.0083998755574 7.863766356714
2 16 9732 25.5 FALSE FALSE 1.00164541341012 1.5525908490863
9 74 9777 475 FALSE FALSE 1.00759753593429 7.1775764927695
12 106 9867 963 FALSE TRUE 1.01080089667821 10.2723790070052
9 102 9971 892.666666666667 FALSE TRUE 1.01028225806452 9.87486313145268
2 23 10033.5 50 TRUE FALSE 1.00229495110756 2.22535598687477
3 31 10060.5 88 TRUE FALSE 1.00308611249378 2.99862796778052
13 99 10125.5 841.666666666667 TRUE TRUE 1.00982532751092 9.57037952424298
2 11 10180.5 13 TRUE FALSE 1.00108108108108 1.06282730170778
2 31 10201.5 88 TRUE FALSE 1.0030433928922 2.99465145114596
3 31 10232.5 88 TRUE FALSE 1.00303415875502 2.99378822510971
2 13 10254.5 17.5 TRUE FALSE 1.00126854020297 1.25520401658241
5 41 10281.5 150.5 TRUE FALSE 1.00399571191892 3.95772780083234
5 32 10318 93.5 FALSE FALSE 1.00310619297224 3.08791500459847
2 22 10345 46 FALSE FALSE 1.00212889491001 2.12241522824115
4 45 10378.5 180.166666666667 TRUE FALSE 1.00434530706837 4.33998493693343
0 2 10402 1 FALSE FALSE 1.00019228920296 0.192846668199309
14 147 10476.5 1837.66666666667 TRUE TRUE 1.01413053926752 14.164597825986
0 1 10550.5 0.5 TRUE FALSE 1.00009478672986 0.0962934705969474
0 7 10554.5 6 TRUE FALSE 1.0006634442233 0.674031937162454
1 6 10561 4.66666666666667 FALSE FALSE 1.00056828944876 0.577706004529318
4 42 10585 157.666666666667 FALSE FALSE 1.00397576675502 4.04306748557246
9 61 10636.5 325.5 TRUE FALSE 1.00575146143692 5.86937670044108
1 21 10677.5 42.1666666666667 TRUE FALSE 1.00196868847849 2.0198685480284
8 75 10725.5 487.666666666667 TRUE FALSE 1.00701721556886 7.21076230598169
5 71 10798.5 438 TRUE FALSE 1.00659667378984 6.82179074920077
2 14 10841 20 FALSE FALSE 1.00129222817057 1.34464141507192
0 1 10848.5 0.5 TRUE FALSE 1.00009218289086 0.0960395403396888
11 95 10896.5 776 TRUE TRUE 1.00875656742557 9.11996004894831
13 137 11012.5 1598.5 TRUE TRUE 1.0125182748538 13.1387960083134
6 46 11104 188 FALSE FALSE 1.00415124988719 4.40810767683683
3 33 11143.5 99.1666666666667 TRUE FALSE 1.00296575896468 3.16127632026132
1 7 11163.5 6 TRUE FALSE 1.00062724014337 0.670462273423936
3 21 11177.5 42.1666666666667 TRUE FALSE 1.00188054087938 2.01114320191141
6 69 11222.5 414.166666666667 TRUE FALSE 1.00616732213085 6.60555937988306
1 13 11263.5 17.5 TRUE FALSE 1.00115483699032 1.2440930788448
1 7 11273.5 6 TRUE FALSE 1.00062111801242 0.669841046648799
1 8 11281 7.5 FALSE FALSE 1.00070940853064 0.765486237031837
6 57 11313.5 285.166666666667 TRUE FALSE 1.00505095259194 5.45259293152344
3 31 11357.5 88 TRUE FALSE 1.00273320402045 2.96435955450602
8 83 11414.5 595 TRUE FALSE 1.00729798645916 7.93310538841843
2 18 11465 31.6666666666667 FALSE FALSE 1.00157122905028 1.71971796186767
17 194 11571 3185 FALSE TRUE 1.01690779152867 18.5187086960275
3 21 11678.5 42.1666666666667 TRUE FALSE 1.00179979430922 2.00285698339849
4 34 11706 105 FALSE FALSE 1.00290871759774 3.24200675384395
1 13 11729.5 17.5 TRUE FALSE 1.00110893116097 1.23935479360284
13 120 11796 1230.16666666667 FALSE TRUE 1.01022494887526 11.4341456670747
23 193 11952.5 3152.5 TRUE TRUE 1.01627867746289 18.3671898589666
0 1 12049.5 0.5 TRUE FALSE 1.00008299443937 0.0950944562723635
0 4 12052 2.5 FALSE FALSE 1.00033195020747 0.380370556120852
2 30 12069 82.6666666666667 FALSE FALSE 1.00248880039821 2.85240417361274
12 116 12142 1150.5 FALSE TRUE 1.00959947037405 11.0230476872453
5 49 12224.5 212.5 TRUE FALSE 1.00401639344262 4.65333857320843
