"kais","work"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
2,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
3,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
3,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
2,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
3,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
3,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
3,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
2,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
4,"Corinthians1"
0,"Corinthians1"
3,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
2,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
2,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
2,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
3,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
2,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
2,"Corinthians2"
0,"Corinthians2"
3,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
2,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
3,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
2,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
2,"Corinthians2"
0,"Corinthians2"
2,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
2,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
2,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
3,"Corinthians2"
2,"Corinthians2"
3,"Corinthians2"
0,"Corinthians2"
2,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
2,"Corinthians2"
2,"Corinthians2"
2,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
3,"Corinthians2"
0,"Corinthians2"
2,"Corinthians2"
3,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
2,"Corinthians2"
0,"Corinthians2"
3,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
2,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
4,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
1,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
3,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
1,"Corinthians2"
2,"Corinthians2"
2,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
0,"Corinthians2"
